
========================================
REMBG Batch Summary
========================================
Total PNGs: 132
Success:   131
Failed:    1
Poor edge: 0
Time:      151.2s (2.5min)
Speed:     0.9 img/s
Input:     43.2MB
Output:    39.8MB
========================================

Detail Log:
[OK]   android-16.png: (920, 1227) -> (920, 1227), removed=0.0%, 0.9s
[FAIL] android-17.png: image file is truncated
[OK]   lord-slug.png: (920, 438) -> (920, 438), removed=0.0%, 0.6s
[OK]   mai.png: (920, 682) -> (920, 682), removed=0.0%, 0.5s
[OK]   merus.png: (920, 954) -> (920, 954), removed=0.0%, 0.6s
[OK]   moro.png: (920, 902) -> (920, 902), removed=0.0%, 0.5s
[OK]   mr-popo.png: (920, 691) -> (920, 691), removed=0.0%, 0.5s
[OK]   mr-satan.png: (920, 1313) -> (920, 1313), removed=0.0%, 0.5s
[OK]   mr.-satan.png: (900, 806) -> (900, 806), removed=0.0%, 0.6s
[OK]   nail.png: (900, 768) -> (900, 768), removed=0.0%, 0.6s
[OK]   nappa.png: (920, 1333) -> (920, 1333), removed=0.0%, 0.5s
[OK]   omega-shenron.png: (920, 894) -> (920, 894), removed=0.0%, 0.5s
[OK]   oolong.png: (920, 1035) -> (920, 1035), removed=0.0%, 0.6s
[OK]   pan-gt.png: (920, 3239) -> (920, 3239), removed=0.0%, 0.7s
[OK]   pan.png: (900, 683) -> (900, 683), removed=0.0%, 1.3s
[OK]   panzy.png: (920, 833) -> (920, 833), removed=0.0%, 0.6s
[OK]   paragus.png: (920, 586) -> (920, 586), removed=0.0%, 0.4s
[OK]   piccolo.png: (920, 1349) -> (920, 1349), removed=0.0%, 1.0s
[OK]   piccolo_jr.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.7s
[OK]   pikkon.png: (920, 1227) -> (920, 1227), removed=0.0%, 0.7s
[OK]   pilina.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.5s
[OK]   puar.png: (920, 800) -> (920, 800), removed=0.0%, 0.6s
[OK]   raditz.png: (920, 1349) -> (920, 1349), removed=0.0%, 0.6s
[OK]   ranfan.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.6s
[OK]   recoome.png: (920, 1741) -> (920, 1741), removed=0.0%, 0.6s
[OK]   roshi.png: (920, 920) -> (920, 920), removed=0.0%, 0.7s
[OK]   saonel.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.5s
[OK]   seven-three.png: (920, 920) -> (920, 920), removed=0.0%, 1.3s
[OK]   shen_hero.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.6s
[OK]   shenron.png: (900, 425) -> (900, 425), removed=0.0%, 0.6s
[OK]   shin.png: (900, 640) -> (900, 640), removed=0.0%, 0.9s
[OK]   shu.png: (920, 739) -> (920, 739), removed=0.0%, 0.5s
[OK]   south_kai.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.6s
[OK]   spike.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.7s
[OK]   staff_officer_black.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.7s
[OK]   suno.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.5s
[OK]   super-17.png: (920, 1527) -> (920, 1527), removed=0.0%, 0.7s
[OK]   supreme-kai.png: (920, 785) -> (920, 785), removed=0.0%, 0.8s
[OK]   syn_shenron.png: (900, 1024) -> (900, 1024), removed=0.0%, 0.9s
[OK]   tambourine.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.7s
[OK]   tao_pai_pai.png: (900, 1355) -> (900, 1355), removed=0.0%, 1.0s
[OK]   tapion.png: (920, 690) -> (920, 690), removed=0.0%, 0.7s
[OK]   tarble.png: (920, 1200) -> (920, 1200), removed=0.0%, 0.6s
[OK]   tien.png: (920, 1600) -> (920, 1600), removed=0.0%, 0.6s
[OK]   toppo.png: (920, 1257) -> (920, 1257), removed=0.0%, 0.7s
[OK]   trunks.png: (920, 1219) -> (920, 1219), removed=0.0%, 0.6s
[OK]   turles.png: (920, 996) -> (920, 996), removed=0.0%, 0.7s
[OK]   upa.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.6s
[OK]   uub.png: (900, 1043) -> (900, 1043), removed=0.0%, 0.8s
[OK]   vados.png: (900, 679) -> (900, 679), removed=0.0%, 0.5s
[OK]   vegeta.png: (900, 1269) -> (900, 1269), removed=0.0%, 0.7s
[OK]   videl.png: (920, 2613) -> (920, 2613), removed=0.0%, 0.6s
[OK]   west_kai.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.8s
[OK]   whis.png: (920, 1129) -> (920, 1129), removed=0.0%, 0.7s
[OK]   yajirobe.png: (920, 1159) -> (920, 1159), removed=0.0%, 0.6s
[OK]   yamcha.png: (900, 1412) -> (900, 1412), removed=0.0%, 0.5s
[OK]   zamasu.png: (900, 1080) -> (900, 1080), removed=0.0%, 0.7s
[OK]   zarbon.png: (920, 1451) -> (920, 1451), removed=0.0%, 0.7s
[OK]   zuno.png: (900, 1355) -> (900, 1355), removed=0.0%, 0.6s
